timestamp,soft_xray_flux,hard_xray_cdte,hard_xray_czt,solexs_flux_mean_10s,solexs_flux_std_10s,hel1os_cdte_mean_10s,hel1os_czt_mean_10s,solexs_flux_mean_60s,solexs_flux_std_60s,hel1os_cdte_mean_60s,hel1os_czt_mean_60s,solexs_flux_diff,hel1os_cdte_diff,hard_to_soft_ratio,is_flare,flare_class,future_flare_10m
2026-06-29 12:00:00,1.0496714153011233e-07,16.5,7.0,1.0496714153011233e-07,0.0,16.5,7.0,1.0496714153011233e-07,0.0,16.5,7.0,0.0,0.0,221766857.73223472,0,0,0
2026-06-29 12:00:01,9.861735698828817e-08,13.0,5.0,1.0179224925920025e-07,4.489975708597381e-09,14.75,6.0,1.0179224925920025e-07,4.489975708597381e-09,14.75,6.0,-6.349784541824157e-09,-3.5,180691403.02644476,0,0,0
2026-06-29 12:00:02,1.0647688538100693e-07,16.0,6.0,1.0335379463313581e-07,4.170756861347341e-09,15.166666666666666,6.0,1.0335379463313581e-07,4.170756861347341e-09,15.166666666666666,6.0,7.859528392718767e-09,3.0,204695176.28846166,0,0,0
2026-06-29 12:00:03,1.1523029856408024e-07,13.0,4.0,1.0632292061587192e-07,6.845410501673262e-09,14.625,5.5,1.0632292061587192e-07,6.845410501673262e-09,14.625,5.5,8.753413183073309e-09,-3.0,146261346.74021798,0,0,0
2026-06-29 12:00:04,9.765846625276665e-08,15.5,5.0,1.0459002974325087e-07,7.082322188687884e-09,14.8,5.4,1.0459002974325087e-07,7.082322188687884e-09,14.8,5.4,-1.75718323113136e-08,2.5,207787539.97126046,0,0,0
2026-06-29 12:00:05,9.765863043050818e-08,23.0,3.0,1.0343479652446041e-07,6.937925684690362e-09,16.166666666666668,5.0,1.0343479652446041e-07,6.937925684690362e-09,16.166666666666668,5.0,1.6417774153857456e-13,7.5,263534977.99985704,0,0,0
2026-06-29 12:00:06,1.1579212815507393e-07,12.0,5.0,1.0520012961454806e-07,7.869380562531416e-09,15.571428571428571,5.0,1.0520012961454806e-07,7.869380562531416e-09,15.571428571428571,5.0,1.8133497724565745e-08,-11.0,145557755.20613673,0,0,0
2026-06-29 12:00:07,1.0767434729152909e-07,14.0,3.0,1.0550940682417069e-07,7.337958421811432e-09,15.375,4.75,1.0550940682417069e-07,7.337958421811432e-09,15.375,4.75,-8.117780863544838e-09,2.0,156430661.17890647,0,0,0
2026-06-29 12:00:08,9.530525614065049e-08,12.5,5.0,1.0437561230377956e-07,7.660570455613915e-09,15.055555555555555,4.777777777777778,1.0437561230377956e-07,7.660570455613915e-09,15.055555555555555,4.777777777777778,-1.23690911508786e-08,-1.5,181713861.7485411,0,0,0
2026-06-29 12:00:09,1.0542560043585965e-07,14.0,8.0,1.0448061111698756e-07,7.230083334490969e-09,14.95,5.1,1.0448061111698756e-07,7.230083334490969e-09,14.95,5.1,1.0120344295209158e-08,1.5,206717179.98207504,0,0,0
2026-06-29 12:00:10,9.536582307187539e-08,24.0,3.0,1.0352047927116387e-07,7.775253213911235e-09,15.7,4.7,1.0365199402197737e-07,7.389138225320337e-09,15.772727272727273,4.909090909090909,-1.0059777363984256e-08,10.0,280182321.27651507,0,0,0
